flanken_id;messsystem;n;Wa_um_mean;Wa_um_std;Wq_um_mean;Wq_um_std;Wp_um_mean;Wp_um_std;Wv_um_mean;Wv_um_std;Wz_um_mean;Wz_um_std;Wsk_mean;Wsk_std;Wku_mean;Wku_std
WSP00_L13_S1;Perthometer;3;0.18647216254808366;0.002272107828108753;0.22655426757236682;0.0025391908121513264;0.5046831046944024;0.013458876346956207;0.512790397001892;0.008055344880088853;1.0174735016962944;0.015221073170625096;-0.10672518769675488;0.02177870475715875;2.3553805516150272;0.038010478768988845
WSP00_L13_S2;Perthometer;3;0.19786537106591137;0.003068047673386791;0.243728191167332;0.00401034766425842;0.6017456436185958;0.020351285662146654;0.6142284763828432;0.031114384476033315;1.2159741200014391;0.04019302959900941;-0.07292863632634627;0.10078571474366237;2.6515724625578536;0.08691950063679439
WSP00_L14_S1;Perthometer;3;0.2200473011179536;0.003570731484015596;0.2649766977023346;0.0036133594231254843;0.5686794585647553;0.013477167901106809;0.5665981819050664;0.002188067353417124;1.1352776404698217;0.015227860978290198;0.11731580694879896;0.005863044971316575;2.195044416121923;0.020897463332900167
WSP00_L14_S2;Perthometer;3;0.19207116345914862;0.011600490185036618;0.23875090910855068;0.011624315569493286;0.5080746428881172;0.022741558126176134;0.6168402635053923;0.035619879196362544;1.1249149063935096;0.05648474253281838;-0.34288492356120853;0.0070329251708270285;2.714666729239063;0.07966648684492969
WSP00_L1_S1;KMG;10;0.2981612500964769;0.3989286252579488;0.4023948698991086;0.5223169522002034;0.9968398780284342;1.0399742634431586;1.3610173282742895;1.8430435386320319;2.3578572063027234;2.829574370864425;-0.07809626336564959;0.7644209136150045;4.575518678960534;2.632058741148866
WSP00_L1_S1;Perthometer;3;0.6853752340891518;0.01753262414212123;0.7954334992757687;0.019188052827622305;1.4107368201769808;0.1961243794038585;1.7359504309768843;0.08118065035753681;3.1466872511538653;0.12112568216818914;-0.20016462493321452;0.05242549760422195;1.91205638813251;0.03159932985555815
WSP00_L1_S2;KMG;10;0.10497368175034312;0.023403832151542788;0.13445645400553738;0.03175416066824102;0.4107853375322413;0.09848558085153238;0.43420145054603926;0.17575652849469026;0.8449867880782804;0.25773546781505524;-0.08331387694935281;0.29106440394383;3.705346740221183;1.3506021382654452
WSP00_L1_S2;Perthometer;3;0.2092337743465014;0.017133414718127824;0.2590571029391873;0.019798051078969786;0.6505985950998076;0.1366987582947842;0.6324947007487537;0.02582521118354712;1.2830932958485612;0.11087381779851777;-0.21296311829739092;0.20272832283877326;2.687227057910821;0.202628426056689
WSP00_L40_S1;KMG;1;0.1244899691495839;;0.1667736692320919;;0.6577572789424383;;0.4294977610888764;;1.0872550400313148;;0.5102917680124605;;4.4688242154933056;
WSP00_L40_S2;KMG;1;0.0920554690496756;;0.1174876505501109;;0.454187888511373;;0.2949338193514871;;0.7491217078628603;;0.2869262402532415;;4.031658831655965;
WSP00_L44_S1;Perthometer;3;0.14733168615770093;0.004299861962491933;0.183625906741715;0.0053462486674279615;0.3714231792446385;0.007283331851044132;0.5902907448584986;0.01938511128947547;0.9617139241031372;0.023122912569549615;-0.5464527848787578;0.07401879797541658;3.1065550096745915;0.0306857562047117
WSP00_L44_S2;Perthometer;3;0.2052631184845881;0.003375411048749504;0.24599773029940988;0.003122338839237064;0.5305798088808801;0.016532900397853253;0.5704610197204161;0.009852645749397109;1.101040828601296;0.0135684544884881;-0.12877588993767683;0.027265847989022034;2.335416549148157;0.038894747605553275
